Designator,Mid X,Mid Y,Rotation,Layer
C1,49.3081,-97.0966,270.0,top
C2,85.2561,-92.02,270.0,top
C3,85.2561,-102.18,270.0,top
C8,90.25,-104.0,90.0,top
C9,100.25,-110.5,270.0,top
D1,105.0,-95.1264,270.0,top
D2,105.0,-105.8764,270.0,top
D3,105.0,-86.6264,270.0,top
IC1,98.29,-104.5,0.0,top
JP1,41.0,-97.2236,90.0,top
PS1,67.34,-97.09,0.0,top
R1,106.9939,-95.1264,270.0,top
R2,107.0,-86.6264,90.0,top
R3,107.0,-105.8764,90.0,top
U$10,226.6,-97.14,270.0,top
U$11,114.84,-97.14,270.0,top
U$12,239.3,-97.14,270.0,top
U$13,250.73,-97.14,270.0,top
U$2,126.27,-97.14,270.0,top
U$3,137.7,-97.14,270.0,top
U$4,149.13,-97.14,270.0,top
U$5,160.56,-97.14,270.0,top
U$6,171.99,-97.14,270.0,top
U$7,189.77,-97.14,270.0,top
U$8,201.2,-97.14,270.0,top
U$9,213.9,-97.14,270.0,top
